entity,precision,recall,f1,support
CHEMICAL,0.48052805280528055,0.5244956772334294,0.5015501205649328,2776
GENE_OR_GENOME,0.3214670981661273,0.46327244461717837,0.3795573953192166,2573
DISEASE_OR_SYNDROME,0.6,0.5883838383838383,0.5941351466213344,1188
DATE,0.7040072859744991,0.8111227701993704,0.7537786445636275,953
CARDINAL,0.7416829745596869,0.8275109170305677,0.782249742002064,916
ORG,0.21739130434782608,0.02032520325203252,0.03717472118959107,492
CELL,0.5750528541226215,0.6085011185682326,0.5913043478260869,447
GROUP,0.815242494226328,0.9028132992327366,0.8567961165048544,391
ORGANISM,0.6436363636363637,0.5236686390532544,0.5774877650897227,338
CELL_COMPONENT,0.5612903225806452,0.5594855305466238,0.5603864734299516,311
GPE,0.5378151260504201,0.5311203319502075,0.534446764091858,241
PERSON,0.509090909090909,0.23236514522821577,0.31908831908831903,241
THERAPEUTIC_OR_PREVENTIVE_PROCEDURE,0.6529850746268657,0.7777777777777778,0.7099391480730225,225
CORONAVIRUS,0.8669354838709677,0.9817351598173516,0.9207708779443255,219
EUKARYOTE,0.6498054474708171,0.7914691943127962,0.7136752136752137,211
TISSUE,0.35185185185185186,0.4393063583815029,0.3907455012853471,173
VIRUS,0.5990783410138248,0.7975460122699386,0.6842105263157894,163
QUANTITY,0.5608465608465608,0.7464788732394366,0.6404833836858006,142
LABORATORY_PROCEDURE,0.5677966101694916,0.5403225806451613,0.5537190082644629,124
MOLECULAR_FUNCTION,0.6165413533834586,0.6721311475409836,0.6431372549019607,122
BODY_PART_ORGAN_OR_ORGAN_COMPONENT,0.6565656565656566,0.5508474576271186,0.599078341013825,118
ORDINAL,0.9313725490196079,0.8715596330275229,0.900473933649289,109
LIVESTOCK,0.8166666666666667,0.9158878504672897,0.8634361233480176,107
EVOLUTION,0.6565656565656566,0.7386363636363636,0.695187165775401,88
IMMUNE_RESPONSE,0.5888888888888889,0.726027397260274,0.6503067484662578,73
TIME,0.627906976744186,0.39705882352941174,0.48648648648648646,68
PRODUCT,0.0,0.0,0.0,66
RESEARCH_ACTIVITY,0.7446808510638298,0.5384615384615384,0.625,65
WILDLIFE,0.9230769230769231,0.8,0.8571428571428571,60
CELL_FUNCTION,0.78,0.65,0.709090909090909,60
SUBSTRATE,0.6571428571428571,0.7796610169491526,0.7131782945736433,59
NORP,0.42105263157894735,0.1509433962264151,0.22222222222222224,53
DIAGNOSTIC_PROCEDURE,0.0,0.0,0.0,41
BODY_SUBSTANCE,0.71875,0.6052631578947368,0.6571428571428571,38
SIGN_OR_SYMPTOM,0.8636363636363636,0.5757575757575758,0.6909090909090909,33
VIRAL_PROTEIN,0.0,0.0,0.0,27
CELL_OR_MOLECULAR_DYSFUNCTION,0.7931034482758621,0.92,0.851851851851852,25
LABORATORY_OR_TEST_RESULT,1.0,0.05263157894736842,0.1,19
INDIVIDUAL_BEHAVIOR,0.0,0.0,0.0,19
LOC,0.0,0.0,0.0,19
ANATOMICAL_STRUCTURE,0.7,0.4117647058823529,0.5185185185185185,17
BACTERIUM,0.0,0.0,0.0,17
DAILY_OR_RECREATIONAL_ACTIVITY,0.6666666666666666,0.9333333333333333,0.7777777777777778,15
GOVERNMENTAL_OR_REGULATORY_ACTIVITY,0.0,0.0,0.0,13
LAW,0.0,0.0,0.0,13
PERCENT,0.0,0.0,0.0,13
ORGAN_OR_TISSUE_FUNCTION,0.0,0.0,0.0,12
SOCIAL_BEHAVIOR,0.0,0.0,0.0,10
FAC,0.0,0.0,0.0,9
FOOD,0.0,0.0,0.0,8
HUMAN-CAUSED_PHENOMENON_OR_PROCESS,0.0,0.0,0.0,8
MONEY,0.0,0.0,0.0,8
EXPERIMENTAL_MODEL_OF_DISEASE,0.0,0.0,0.0,7
INJURY_OR_POISONING,0.0,0.0,0.0,5
MATERIAL,0.0,0.0,0.0,5
WORK_OF_ART,0.0,0.0,0.0,4
EVENT,0.0,0.0,0.0,3
LANGUAGE,0.0,0.0,0.0,3
