entity,precision,recall,f1,support
CHEMICAL,0.4997129735935706,0.553577106518283,0.5252677628601599,3145
GENE_OR_GENOME,0.36408142231383667,0.49011446409989595,0.4178001182732111,2883
DISEASE_OR_SYNDROME,0.6501597444089456,0.613413715146948,0.6312524234199302,1327
DATE,0.7495495495495496,0.7938931297709924,0.7710843373493976,1048
CARDINAL,0.7697907188353048,0.8205625606207565,0.7943661971830985,1031
ORG,0.2631578947368421,0.04562043795620438,0.07776049766718508,548
CELL,0.6082677165354331,0.6130952380952381,0.6106719367588933,504
GROUP,0.8432671081677704,0.8967136150234741,0.8691695108077361,426
ORGANISM,0.6612903225806451,0.5366492146596858,0.5924855491329479,382
CELL_COMPONENT,0.6189024390243902,0.5918367346938775,0.6050670640834576,343
GPE,0.5683760683760684,0.48717948717948717,0.5246548323471399,273
PERSON,0.6111111111111112,0.21153846153846154,0.3142857142857143,260
THERAPEUTIC_OR_PREVENTIVE_PROCEDURE,0.657439446366782,0.7755102040816326,0.7116104868913857,245
CORONAVIRUS,0.9236947791164659,0.9663865546218487,0.9445585215605751,238
EUKARYOTE,0.7137404580152672,0.7857142857142857,0.748,238
TISSUE,0.4397905759162304,0.42424242424242425,0.4318766066838046,198
VIRUS,0.6125,0.8258426966292135,0.7033492822966507,178
QUANTITY,0.5833333333333334,0.717948717948718,0.6436781609195402,156
LABORATORY_PROCEDURE,0.6746031746031746,0.5821917808219178,0.625,146
MOLECULAR_FUNCTION,0.7927927927927928,0.6197183098591549,0.6956521739130435,142
BODY_PART_ORGAN_OR_ORGAN_COMPONENT,0.6015625,0.5620437956204379,0.5811320754716981,137
LIVESTOCK,0.8473282442748091,0.9568965517241379,0.8987854251012146,116
ORDINAL,0.9272727272727272,0.8869565217391304,0.9066666666666666,115
EVOLUTION,0.6333333333333333,0.7916666666666666,0.7037037037037038,96
IMMUNE_RESPONSE,0.7058823529411765,0.8181818181818182,0.7578947368421053,88
PRODUCT,0.0,0.0,0.0,75
TIME,0.5833333333333334,0.3888888888888889,0.4666666666666666,72
CELL_FUNCTION,0.696969696969697,0.647887323943662,0.6715328467153285,71
RESEARCH_ACTIVITY,0.7358490566037735,0.5571428571428572,0.6341463414634148,70
SUBSTRATE,0.6666666666666666,0.8484848484848485,0.7466666666666666,66
WILDLIFE,0.8928571428571429,0.8064516129032258,0.8474576271186439,62
NORP,0.41935483870967744,0.22807017543859648,0.29545454545454547,57
DIAGNOSTIC_PROCEDURE,1.0,0.10416666666666667,0.18867924528301885,48
BODY_SUBSTANCE,0.8444444444444444,0.926829268292683,0.8837209302325582,41
SIGN_OR_SYMPTOM,0.8695652173913043,0.5555555555555556,0.6779661016949152,36
VIRAL_PROTEIN,0.8125,0.43333333333333335,0.5652173913043479,30
CELL_OR_MOLECULAR_DYSFUNCTION,0.8125,0.9285714285714286,0.8666666666666666,28
LABORATORY_OR_TEST_RESULT,1.0,0.043478260869565216,0.08333333333333333,23
DAILY_OR_RECREATIONAL_ACTIVITY,0.8095238095238095,0.8947368421052632,0.8500000000000001,19
LOC,0.7142857142857143,0.2631578947368421,0.3846153846153846,19
INDIVIDUAL_BEHAVIOR,0.0,0.0,0.0,19
ANATOMICAL_STRUCTURE,0.8333333333333334,0.2777777777777778,0.4166666666666667,18
BACTERIUM,0.0,0.0,0.0,18
LAW,0.0,0.0,0.0,16
PERCENT,0.0,0.0,0.0,15
ORGAN_OR_TISSUE_FUNCTION,0.0,0.0,0.0,14
GOVERNMENTAL_OR_REGULATORY_ACTIVITY,0.0,0.0,0.0,13
SOCIAL_BEHAVIOR,0.0,0.0,0.0,12
MONEY,0.0,0.0,0.0,11
FOOD,0.0,0.0,0.0,10
EXPERIMENTAL_MODEL_OF_DISEASE,0.0,0.0,0.0,9
FAC,0.0,0.0,0.0,9
HUMAN-CAUSED_PHENOMENON_OR_PROCESS,0.0,0.0,0.0,8
MATERIAL,0.0,0.0,0.0,7
INJURY_OR_POISONING,0.0,0.0,0.0,5
WORK_OF_ART,0.0,0.0,0.0,4
EVENT,0.0,0.0,0.0,3
LANGUAGE,0.0,0.0,0.0,3
